bin_index,bin_center,count
0,0.500,99841
1,1.500,99841
2,2.500,99841
3,3.500,99841
4,4.500,99841
5,5.500,99841
6,6.500,99841
7,7.500,99841
8,8.500,99841
9,9.500,99841
10,10.500,99841
11,11.500,99841
12,12.500,99841
13,13.500,99841
14,14.500,99841
15,15.500,99841
16,16.500,99841
17,17.500,99841
18,18.500,99841
19,19.500,99841
20,20.500,99841
21,21.500,99841
22,22.500,99841
23,23.500,99841
24,24.500,99841
25,25.500,99841
26,26.500,99841
27,27.500,99841
28,28.500,99841
29,29.500,99841
30,30.500,99841
31,31.500,99841
32,32.500,0
33,33.500,0
34,34.500,0
35,35.500,0
36,36.500,0
37,37.500,0
38,38.500,0
39,39.500,0
40,40.500,0
41,41.500,0
42,42.500,0
43,43.500,0
44,44.500,0
45,45.500,0
46,46.500,0
47,47.500,0
48,48.500,0
49,49.500,0
50,50.500,0
51,51.500,0
52,52.500,0
53,53.500,0
54,54.500,0
55,55.500,0
56,56.500,0
57,57.500,0
58,58.500,0
59,59.500,0
60,60.500,0
61,61.500,0
62,62.500,0
63,63.500,0
64,64.500,99841
65,65.500,99841
66,66.500,99841
67,67.500,99841
68,68.500,99841
69,69.500,99841
70,70.500,99841
71,71.500,99841
72,72.500,99841
73,73.500,99841
74,74.500,99841
75,75.500,99841
76,76.500,99841
77,77.500,99841
78,78.500,99841
79,79.500,99841
80,80.500,99841
81,81.500,99841
82,82.500,99841
83,83.500,99841
84,84.500,99841
85,85.500,99841
86,86.500,99841
87,87.500,99841
88,88.500,99841
89,89.500,99841
90,90.500,99841
91,91.500,99841
92,92.500,99841
93,93.500,99841
94,94.500,99841
95,95.500,99841
96,96.500,99841
97,97.500,99841
98,98.500,99841
99,99.500,99841
100,100.500,99841
101,101.500,99841
102,102.500,99841
103,103.500,99841
104,104.500,99841
105,105.500,99841
106,106.500,99841
107,107.500,99841
108,108.500,99841
109,109.500,99841
110,110.500,99841
111,111.500,99841
112,112.500,99841
113,113.500,99841
114,114.500,99841
115,115.500,99841
116,116.500,99841
117,117.500,99841
118,118.500,99841
119,119.500,99841
120,120.500,99841
121,121.500,99841
122,122.500,99841
123,123.500,99841
124,124.500,99841
125,125.500,99841
126,126.500,99841
127,127.500,99841
128,128.500,99841
129,129.500,99841
130,130.500,99841
131,131.500,99841
132,132.500,99841
133,133.500,99841
134,134.500,99841
135,135.500,99841
136,136.500,99841
137,137.500,99841
138,138.500,99841
139,139.500,99841
140,140.500,99841
141,141.500,99841
142,142.500,99841
143,143.500,99841
144,144.500,99841
145,145.500,99841
146,146.500,99841
147,147.500,99841
148,148.500,99841
149,149.500,99841
150,150.500,99841
151,151.500,99841
152,152.500,99841
153,153.500,99841
154,154.500,99841
155,155.500,99841
156,156.500,99841
157,157.500,99841
158,158.500,99841
159,159.500,99841
160,160.500,0
161,161.500,0
162,162.500,0
163,163.500,0
164,164.500,0
165,165.500,0
166,166.500,0
167,167.500,0
168,168.500,0
169,169.500,0
170,170.500,0
171,171.500,0
172,172.500,0
173,173.500,0
174,174.500,0
175,175.500,0
176,176.500,0
177,177.500,0
178,178.500,0
179,179.500,0
180,180.500,0
181,181.500,0
182,182.500,0
183,183.500,0
184,184.500,0
185,185.500,0
186,186.500,0
187,187.500,0
188,188.500,0
189,189.500,0
190,190.500,0
191,191.500,0
192,192.500,0
193,193.500,0
194,194.500,0
195,195.500,0
196,196.500,0
197,197.500,0
198,198.500,0
199,199.500,0
200,200.500,0
201,201.500,0
202,202.500,0
203,203.500,0
204,204.500,0
205,205.500,0
206,206.500,0
207,207.500,0
208,208.500,0
209,209.500,0
210,210.500,0
211,211.500,0
212,212.500,0
213,213.500,0
214,214.500,0
215,215.500,0
216,216.500,0
217,217.500,0
218,218.500,0
219,219.500,0
220,220.500,0
221,221.500,0
222,222.500,0
223,223.500,0
224,224.500,99841
225,225.500,99841
226,226.500,99841
227,227.500,99841
228,228.500,99841
229,229.500,99841
230,230.500,99841
231,231.500,99841
232,232.500,87200
233,233.500,99841
234,234.500,99841
235,235.500,99841
236,236.500,99841
237,237.500,99841
238,238.500,99841
239,239.500,99841
240,240.500,99794
241,241.500,99841
242,242.500,99841
243,243.500,99841
244,244.500,99841
245,245.500,99841
246,246.500,99841
247,247.500,99829
248,248.500,99841
249,249.500,99841
250,250.500,99841
251,251.500,99841
252,252.500,99841
253,253.500,99841
254,254.500,99841
255,255.500,99841
