bin_index,bin_center,count
0,0.500,99840
1,1.500,99840
2,2.500,99840
3,3.500,99840
4,4.500,99840
5,5.500,99840
6,6.500,99840
7,7.500,99840
8,8.500,99840
9,9.500,99840
10,10.500,99840
11,11.500,99840
12,12.500,99840
13,13.500,99840
14,14.500,98851
15,15.500,99840
16,16.500,99840
17,17.500,99840
18,18.500,99840
19,19.500,99840
20,20.500,99840
21,21.500,99840
22,22.500,99840
23,23.500,99840
24,24.500,99840
25,25.500,99840
26,26.500,99840
27,27.500,99840
28,28.500,99840
29,29.500,99840
30,30.500,99840
31,31.500,99840
32,32.500,99840
33,33.500,99840
34,34.500,99840
35,35.500,99840
36,36.500,99840
37,37.500,99840
38,38.500,99840
39,39.500,99840
40,40.500,99840
41,41.500,99840
42,42.500,99840
43,43.500,99840
44,44.500,99840
45,45.500,99840
46,46.500,99840
47,47.500,99839
48,48.500,99840
49,49.500,99840
50,50.500,99840
51,51.500,99840
52,52.500,99840
53,53.500,99840
54,54.500,99840
55,55.500,99840
56,56.500,99840
57,57.500,99840
58,58.500,99840
59,59.500,99840
60,60.500,99840
61,61.500,99840
62,62.500,99840
63,63.500,99840
64,64.500,99840
65,65.500,99840
66,66.500,99840
67,67.500,99840
68,68.500,99840
69,69.500,99840
70,70.500,99840
71,71.500,99840
72,72.500,99840
73,73.500,99840
74,74.500,99840
75,75.500,99840
76,76.500,99840
77,77.500,99840
78,78.500,99840
79,79.500,99840
80,80.500,99840
81,81.500,99840
82,82.500,99840
83,83.500,99840
84,84.500,99840
85,85.500,99840
86,86.500,99840
87,87.500,99840
88,88.500,99840
89,89.500,99840
90,90.500,99840
91,91.500,99840
92,92.500,99840
93,93.500,99840
94,94.500,99840
95,95.500,99840
96,96.500,199680
97,97.500,199680
98,98.500,199680
99,99.500,199680
100,100.500,199680
101,101.500,199680
102,102.500,199680
103,103.500,197504
104,104.500,109348
105,105.500,199680
106,106.500,199680
107,107.500,199680
108,108.500,199680
109,109.500,199680
110,110.500,199680
111,111.500,190203
112,112.500,199680
113,113.500,199680
114,114.500,199680
115,115.500,199680
116,116.500,199680
117,117.500,195420
118,118.500,199562
119,119.500,199680
120,120.500,199680
121,121.500,199680
122,122.500,199680
123,123.500,111758
124,124.500,190568
125,125.500,199680
126,126.500,199634
127,127.500,199679
128,128.500,99840
129,129.500,99840
130,130.500,99840
131,131.500,99840
132,132.500,99840
133,133.500,99840
134,134.500,99840
135,135.500,99840
136,136.500,99840
137,137.500,99840
138,138.500,99840
139,139.500,99840
140,140.500,99840
141,141.500,99840
142,142.500,99840
143,143.500,99840
144,144.500,99840
145,145.500,99840
146,146.500,99840
147,147.500,99840
148,148.500,99840
149,149.500,99840
150,150.500,99840
151,151.500,99840
152,152.500,99840
153,153.500,99840
154,154.500,99840
155,155.500,99840
156,156.500,99840
157,157.500,99840
158,158.500,99840
159,159.500,99840
160,160.500,99840
161,161.500,99840
162,162.500,99840
163,163.500,99840
164,164.500,99840
165,165.500,99840
166,166.500,99840
167,167.500,99840
168,168.500,99840
169,169.500,99840
170,170.500,99840
171,171.500,99840
172,172.500,99840
173,173.500,99840
174,174.500,99840
175,175.500,99840
176,176.500,99840
177,177.500,99840
178,178.500,99840
179,179.500,99840
180,180.500,99840
181,181.500,99840
182,182.500,99840
183,183.500,99840
184,184.500,99840
185,185.500,99840
186,186.500,99840
187,187.500,99840
188,188.500,99840
189,189.500,99840
190,190.500,99840
191,191.500,99840
192,192.500,99840
193,193.500,99840
194,194.500,99840
195,195.500,99840
196,196.500,99840
197,197.500,99840
198,198.500,99840
199,199.500,99840
200,200.500,99840
201,201.500,99840
202,202.500,99840
203,203.500,99840
204,204.500,99840
205,205.500,99840
206,206.500,99840
207,207.500,99840
208,208.500,99840
209,209.500,99840
210,210.500,99840
211,211.500,99840
212,212.500,99840
213,213.500,99840
214,214.500,99840
215,215.500,99840
216,216.500,99840
217,217.500,99840
218,218.500,99840
219,219.500,99840
220,220.500,99840
221,221.500,99840
222,222.500,99840
223,223.500,99840
224,224.500,99840
225,225.500,199680
226,226.500,199680
227,227.500,199680
228,228.500,199680
229,229.500,199680
230,230.500,199680
231,231.500,199680
232,232.500,199680
233,233.500,99840
234,234.500,199680
235,235.500,199641
236,236.500,199680
237,237.500,199680
238,238.500,199680
239,239.500,199680
240,240.500,148165
241,241.500,199680
242,242.500,199680
243,243.500,199566
244,244.500,199680
245,245.500,199680
246,246.500,199680
247,247.500,199680
248,248.500,99840
249,249.500,199680
250,250.500,199680
251,251.500,199680
252,252.500,199643
253,253.500,199680
254,254.500,199680
255,255.500,199680
